Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
3/12,-0.04 ,-0.22 ,-0.02 ,-0.14 ,0.00 ,-0.09 ,-0.07 ,-0.05 ,-0.10 ,0.00 ,-0.10 ,0.00 ,-0.04 ,0.00 ,-0.17 ,0.00 ,-0.14 ,-0.05 ,-0.05 ,-0.03 ,0.00 ,-0.07 ,-0.17 ,-0.13 ,-0.03 
3/19,-0.05 ,-0.09 ,-0.08 ,-0.02 ,-0.09 ,-0.18 ,-0.07 ,-0.07 ,-0.05 ,-0.01 ,-0.01 ,-0.01 ,-0.02 ,-0.05 ,-0.11 ,-0.10 ,-0.18 ,-0.14 ,-0.09 ,-0.07 ,0.00 ,-0.13 ,-0.18 ,-0.14 ,-0.04 
3/26,-0.24 ,-0.03 ,-0.09 ,-0.13 ,0.00 ,-0.08 ,-0.06 ,-0.03 ,-0.02 ,0.00 ,-0.03 ,-0.02 ,-0.03 ,0.00 ,-0.17 ,-0.15 ,-0.05 ,-0.02 ,-0.07 ,-0.04 ,-0.04 ,-0.11 ,-0.18 ,-0.07 ,-0.03 
4/2,-0.24 ,-0.12 ,-0.06 ,-0.09 ,0.00 ,-0.07 ,-0.06 ,-0.02 ,-0.07 ,0.00 ,-0.04 ,-0.02 ,-0.03 ,0.00 ,-0.15 ,-0.12 ,-0.12 ,-0.20 ,-0.04 ,-0.01 ,-0.07 ,-0.13 ,-0.15 ,-0.20 ,-0.09 
4/9,-0.04 ,-0.04 ,-0.03 ,-0.06 ,-0.01 ,-0.08 ,-0.01 ,-0.02 ,-0.07 ,0.00 ,0.00 ,-0.06 ,-0.04 ,-0.01 ,-0.14 ,-0.13 ,-0.13 ,-0.04 ,-0.03 ,-0.04 ,-0.16 ,-0.08 ,-0.24 ,-0.09 ,-0.07 
4/16,-0.08 ,-0.03 ,-0.06 ,-0.08 ,0.00 ,-0.06 ,-0.03 ,0.00 ,-0.07 ,0.00 ,-0.02 ,-0.01 ,-0.12 ,-0.07 ,-0.18 ,-0.03 ,-0.10 ,-0.02 ,0.00 ,-0.03 ,-0.08 ,-0.07 ,-0.17 ,-0.18 ,-0.09 
4/23,-0.17 ,0.00 ,-0.06 ,-0.10 ,-0.02 ,-0.06 ,-0.05 ,0.00 ,-0.08 ,0.00 ,-0.17 ,-0.01 ,-0.10 ,-0.06 ,-0.12 ,-0.03 ,-0.10 ,-0.01 ,-0.02 ,-0.02 ,-0.09 ,-0.13 ,-0.11 ,-0.27 ,-0.06 
4/30,-0.07 ,0.00 ,-0.05 ,-0.05 ,0.00 ,-0.10 ,-0.02 ,-0.04 ,-0.03 ,-0.01 ,-0.04 ,-0.01 ,-0.13 ,-0.14 ,0.08 ,-0.07 ,-0.14 ,-0.10 ,-0.08 ,0.00 ,-0.08 ,-0.16 ,-0.08 ,-0.14 ,-0.08 
5/7,-0.09 ,0.00 ,-0.10 ,-0.04 ,0.00 ,-0.04 ,-0.04 ,-0.04 ,-0.08 ,-0.02 ,-0.09 ,-0.02 ,0.00 ,-0.02 ,0.03 ,-0.13 ,-0.10 ,-0.08 ,-0.05 ,-0.05 ,-0.11 ,-0.21 ,-0.04 ,-0.02 ,-0.10 
5/14,-0.11 ,-0.01 ,-0.09 ,-0.08 ,0.00 ,-0.07 ,-0.02 ,-0.04 ,-0.03 ,-0.02 ,-0.07 ,-0.09 ,0.03 ,-0.06 ,-0.03 ,-0.02 ,-0.04 ,-0.02 ,-0.04 ,-0.07 ,-0.10 ,-0.13 ,-0.01 ,-0.04 ,-0.08 
5/21,-0.04 ,-0.03 ,-0.05 ,-0.12 ,-0.01 ,-0.02 ,-0.05 ,-0.02 ,-0.02 ,0.00 ,-0.02 ,-0.02 ,0.02 ,0.00 ,-0.01 ,-0.04 ,-0.09 ,-0.05 ,0.00 ,-0.06 ,-0.08 ,-0.13 ,-0.05 ,-0.07 ,-0.06 
5/28,-0.02 ,-0.14 ,-0.21 ,-0.02 ,-0.01 ,0.00 ,-0.04 ,0.00 ,-0.02 ,-0.01 ,-0.04 ,0.00 ,0.00 ,-0.09 ,-0.04 ,-0.05 ,-0.01 ,-0.03 ,-0.04 ,-0.02 ,-0.05 ,-0.24 ,-0.08 ,-0.09 ,-0.07 
6/4,-0.01 ,-0.01 ,-0.15 ,-0.11 ,-0.02 ,0.00 ,-0.06 ,0.00 ,-0.16 ,-0.02 ,-0.02 ,-0.03 ,-0.05 ,-0.01 ,-0.09 ,-0.09 ,-0.30 ,-0.01 ,-0.06 ,0.00 ,-0.04 ,-0.11 ,-0.09 ,-0.18 ,-0.07 
6/11,-0.10 ,-0.03 ,-0.01 ,-0.08 ,-0.29 ,-0.04 ,-0.09 ,-0.04 ,-0.04 ,-0.02 ,-0.09 ,-0.03 ,0.00 ,-0.09 ,-0.12 ,-0.04 ,-0.24 ,-0.11 ,-0.02 ,0.00 ,-0.06 ,-0.12 ,-0.16 ,-0.20 ,-0.08 
6/18,-0.01 ,0.00 ,-0.05 ,-0.07 ,-0.02 ,-0.08 ,-0.08 ,-0.02 ,0.00 ,-0.02 ,-0.05 ,-0.10 ,-0.08 ,-0.04 ,-0.13 ,-0.09 ,-0.13 ,-0.08 ,0.00 ,-0.06 ,-0.09 ,-0.17 ,-0.06 ,-0.13 ,-0.04 
6/25,0.00 ,-0.07 ,-0.22 ,-0.43 ,-0.09 ,-0.07 ,-0.09 ,-0.08 ,-0.11 ,-0.07 ,-0.05 ,-0.08 ,-0.03 ,-0.04 ,-0.26 ,-0.10 ,-0.03 ,-0.09 ,-0.02 ,-0.01 ,-0.02 ,-0.07 ,-0.13 ,-0.10 ,-0.04 
7/2,-0.39 ,-0.17 ,-0.03 ,-0.11 ,0.00 ,-0.04 ,-0.03 ,0.00 ,-0.14 ,-0.26 ,-0.21 ,0.00 ,-0.03 ,-0.01 ,-0.15 ,-0.25 ,-0.09 ,-0.03 ,-0.09 ,-0.06 ,-0.11 ,-0.20 ,-0.11 ,-0.17 ,-0.11 
7/9,-0.24 ,-0.09 ,-0.08 ,-0.14 ,-0.01 ,-0.17 ,0.00 ,-0.08 ,-0.01 ,-0.28 ,-0.10 ,-0.06 ,-0.03 ,-0.13 ,-0.11 ,-0.14 ,-0.12 ,-0.08 ,-0.04 ,0.00 ,-0.14 ,-0.12 ,-0.12 ,-0.14 ,-0.08 
7/16,-0.45 ,-0.01 ,-0.22 ,-0.07 ,-0.26 ,-0.07 ,-0.11 ,-0.03 ,-0.03 ,-0.12 ,-0.07 ,0.00 ,-0.05 ,-0.05 ,-0.20 ,-0.13 ,-0.08 ,-0.06 ,-0.10 ,0.00 ,-0.19 ,-0.20 ,-0.11 ,-0.22 ,-0.11 
7/23,-0.36 ,-0.08 ,-0.17 ,-0.08 ,-0.02 ,-0.03 ,-0.06 ,-0.05 ,0.00 ,-0.18 ,-0.04 ,-0.01 ,-0.21 ,-0.14 ,-0.14 ,-0.31 ,-0.06 ,0.00 ,-0.10 ,-0.04 ,-0.09 ,-0.17 ,-0.13 ,-0.09 ,-0.11 
7/30,0.00 ,-0.04 ,-0.08 ,-0.02 ,-0.03 ,-0.15 ,-0.06 ,-0.04 ,-0.05 ,-0.18 ,-0.05 ,-0.16 ,-0.19 ,-0.18 ,-0.17 ,-0.18 ,-0.19 ,-0.16 ,-0.03 ,0.00 ,-0.12 ,-0.17 ,-0.16 ,-0.22 ,-0.11 
8/6,-0.07 ,-0.01 ,-0.08 ,-0.02 ,-0.04 ,-0.09 ,-0.04 ,-0.08 ,-0.02 ,-0.19 ,-0.12 ,0.00 ,-0.10 ,-0.15 ,-0.28 ,-0.27 ,-0.06 ,0.00 ,-0.06 ,0.00 ,-0.16 ,-0.14 ,-0.14 ,-0.08 ,-0.10 
8/13,-0.03 ,0.00 ,-0.17 ,-0.08 ,0.00 ,-0.05 ,-0.09 ,-0.06 ,-0.02 ,-0.16 ,-0.04 ,-0.02 ,-0.15 ,-0.02 ,-0.31 ,-0.21 ,-0.04 ,-0.11 ,-0.03 ,-0.04 ,-0.09 ,-0.49 ,-0.17 ,-0.07 ,-0.12 
8/20,0.00 ,0.00 ,-0.24 ,-0.07 ,-0.10 ,-0.14 ,-0.03 ,-0.05 ,-0.04 ,-0.14 ,-0.05 ,-0.18 ,-0.07 ,-0.13 ,-0.25 ,-0.31 ,-0.08 ,-0.12 ,-0.03 ,0.00 ,-0.11 ,-0.19 ,-0.26 ,-0.16 ,-0.12 
8/27,0.00 ,0.00 ,-0.21 ,-0.02 ,-0.02 ,-0.14 ,0.00 ,0.00 ,-0.09 ,-0.12 ,-0.03 ,-0.02 ,-0.08 ,0.00 ,-0.32 ,-0.42 ,-0.05 ,-0.03 ,-0.16 ,-0.03 ,-0.28 ,-0.29 ,-0.17 ,-0.10 ,-0.13 
9/3,-0.10 ,-0.52 ,-0.26 ,-0.10 ,0.00 ,-0.10 ,-0.03 ,0.00 ,-0.07 ,-0.17 ,-0.04 ,-0.04 ,-0.09 ,-0.18 ,-0.23 ,-0.18 ,-0.57 ,-0.08 ,-0.04 ,-0.09 ,-0.21 ,-0.29 ,-0.16 ,-0.26 ,-0.09 
9/10,-0.07 ,-0.23 ,-0.21 ,-0.11 ,-0.22 ,-0.21 ,-0.16 ,-0.03 ,-0.14 ,-0.13 ,-0.17 ,-0.14 ,-0.07 ,-0.09 ,-0.25 ,-0.17 ,-0.12 ,-0.13 ,-0.08 ,0.00 ,-0.27 ,-0.28 ,-0.21 ,-0.22 ,-0.19 
9/17,-0.26 ,-0.14 ,-0.15 ,-0.31 ,-0.01 ,-0.17 ,-0.13 ,-0.02 ,-0.17 ,-0.09 ,-0.16 ,-0.03 ,-0.11 ,-0.01 ,-0.23 ,-0.21 ,-0.16 ,-0.09 ,-0.06 ,0.00 ,-0.18 ,-0.22 ,-0.10 ,-0.16 ,-0.16 
9/24,-0.09 ,-0.17 ,-0.24 ,-0.34 ,-0.21 ,-0.14 ,-0.19 ,-0.21 ,-0.33 ,0.00 ,-0.24 ,-0.03 ,0.00 ,0.00 ,-0.05 ,-0.08 ,-0.22 ,-0.23 ,-0.13 ,-0.05 ,-0.21 ,-0.15 ,-0.19 ,-0.21 ,-0.16 
10/8,-0.28 ,-0.16 ,-0.23 ,-0.28 ,-0.02 ,-0.08 ,-0.14 ,-0.05 ,-0.16 ,-0.33 ,-0.19 ,-0.10 ,0.00 ,-0.05 ,-0.05 ,-0.01 ,-0.19 ,-0.44 ,-0.10 ,-0.18 ,-0.32 ,-0.16 ,-0.08 ,-0.08 ,-0.20 
10/15,-0.13 ,-0.04 ,-0.20 ,-0.35 ,-0.23 ,-0.14 ,-0.11 ,-0.09 ,-0.13 ,-0.08 ,-0.06 ,-0.09 ,-0.01 ,-0.14 ,-0.01 ,-0.05 ,-0.09 ,-0.26 ,-0.08 ,-0.05 ,-0.06 ,-0.14 ,-0.18 ,-0.15 ,-0.20 
10/22,-0.32 ,-0.02 ,-0.04 ,-0.30 ,-0.06 ,-0.03 ,-0.04 ,-0.14 ,-0.16 ,-0.09 ,-0.04 ,-0.08 ,-0.08 ,-0.07 ,-0.08 ,-0.02 ,-0.06 ,-0.20 ,-0.07 ,-0.06 ,-0.02 ,-0.18 ,-0.14 ,-0.16 ,-0.23 
10/29,-0.13 ,-0.01 ,-0.03 ,-0.22 ,-0.08 ,-0.08 ,-0.05 ,-0.14 ,-0.10 ,-0.13 ,-0.06 ,-0.08 ,-0.13 ,0.00 ,-0.08 ,-0.06 ,-0.12 ,-0.14 ,-0.08 ,-0.04 ,0.00 ,-0.13 ,-0.09 ,-0.07 ,-0.12 
11/5,-0.21 ,-0.02 ,-0.08 ,-0.35 ,0.00 ,-0.08 ,-0.09 ,-0.08 ,-0.03 ,-0.03 ,-0.10 ,-0.21 ,-0.09 ,-0.25 ,-0.18 ,-0.16 ,-0.12 ,-0.17 ,-0.05 ,0.00 ,-0.02 ,-0.08 ,-0.04 ,-0.01 ,-0.14 
11/12,-0.15 ,-0.03 ,-0.13 ,-0.20 ,0.00 ,-0.19 ,-0.03 ,-0.14 ,-0.04 ,-0.10 ,-0.11 ,-0.01 ,-0.08 ,0.00 ,-0.17 ,-0.05 ,-0.12 ,-0.11 ,-0.01 ,-0.02 ,-0.01 ,-0.15 ,-0.05 ,-0.09 ,-0.15 
11/19,-0.14 ,-0.13 ,-0.05 ,-0.08 ,0.00 ,-0.10 ,-0.09 ,-0.11 ,-0.02 ,-0.02 ,-0.03 ,-0.19 ,-0.01 ,0.00 ,-0.05 ,-0.07 ,-0.10 ,-0.26 ,0.00 ,-0.06 ,-0.06 ,-0.09 ,-0.35 ,-0.01 ,-0.15 
11/26,-0.15 ,-0.20 ,-0.12 ,-0.08 ,0.00 ,-0.09 ,0.00 ,-0.02 ,-0.06 ,-0.05 ,0.00 ,-0.02 ,-0.02 ,-0.17 ,-0.17 ,-0.18 ,-0.10 ,-0.07 ,0.00 ,0.00 ,-0.02 ,-0.14 ,-0.25 ,-0.05 ,-0.03 
12/3,-0.09 ,-0.01 ,-0.10 ,-0.08 ,-0.11 ,-0.06 ,-0.05 ,0.00 ,-0.06 ,-0.08 ,-0.07 ,-0.07 ,-0.03 ,0.00 ,-0.23 ,-0.16 ,-0.26 ,-0.08 ,-0.04 ,0.00 ,-0.07 ,-0.06 ,-0.16 ,-0.09 ,-0.13 
12/10,-0.06 ,-0.04 ,-0.06 ,-0.12 ,0.00 ,-0.05 ,0.00 ,-0.03 ,-0.03 ,-0.03 ,-0.05 ,0.00 ,-0.01 ,-0.08 ,-0.16 ,-0.07 ,-0.12 ,-0.09 ,-0.06 ,0.00 ,-0.01 ,-0.09 ,-0.08 ,-0.09 ,-0.08 
12/17,-0.07 ,0.00 ,-0.06 ,-0.08 ,-0.01 ,-0.04 ,-0.12 ,0.00 ,-0.06 ,-0.01 ,-0.07 ,0.00 ,-0.06 ,-0.03 ,-0.11 ,-0.09 ,-0.14 ,-0.09 ,-0.05 ,-0.08 ,-0.08 ,-0.02 ,-0.11 ,-0.04 ,-0.09 
12/24,0.00 ,-0.12 ,-0.15 ,-0.07 ,-0.07 ,-0.05 ,-0.02 ,-0.09 ,-0.06 ,-0.01 ,0.00 ,-0.02 ,-0.06 ,-0.03 ,-0.05 ,-0.16 ,-0.12 ,-0.09 ,-0.02 ,-0.04 ,-0.03 ,-0.06 ,-0.11 ,-0.08 ,-0.08 
12/31,-0.07 ,-0.14 ,-0.11 ,-0.05 ,-0.07 ,-0.09 ,-0.02 ,-0.26 ,-0.05 ,-0.05 ,-0.05 ,0.00 ,-0.02 ,0.00 ,-0.06 ,-0.11 ,-0.04 ,-0.13 ,-0.07 ,-0.16 ,-0.05 ,-0.21 ,-0.11 ,-0.02 ,-0.05 
13/1/7,-0.05 ,-0.05 ,-0.08 ,-0.12 ,-0.14 ,-0.02 ,-0.04 ,0.00 ,-0.05 ,-0.01 ,-0.05 ,0.00 ,0.00 ,-0.27 ,-0.02 ,-0.09 ,-0.04 ,-0.02 ,-0.01 ,-0.15 ,-0.12 ,-0.09 ,-0.02 ,-0.19 ,-0.04 
1/14,-0.07 ,-0.04 ,-0.11 ,-0.13 ,0.00 ,-0.02 ,-0.06 ,-0.04 ,-0.09 ,-0.05 ,-0.02 ,0.00 ,-0.02 ,-0.14 ,-0.06 ,-0.01 ,-0.02 ,-0.03 ,-0.02 ,-0.37 ,-0.08 ,-0.13 ,-0.14 ,-0.09 ,-0.04 
1/21,-0.24 ,-0.03 ,-0.07 ,-0.10 ,-0.08 ,-0.06 ,0.00 ,-0.01 ,-0.10 ,-0.06 ,-0.03 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.02 ,-0.09 ,0.00 ,-0.08 ,-0.42 ,-0.03 ,-0.29 ,-0.15 ,-0.08 ,-0.05 
1/28,-0.16 ,-0.02 ,-0.09 ,-0.25 ,0.00 ,0.00 ,-0.10 ,-0.07 ,-0.10 ,-0.07 ,-0.04 ,0.00 ,-0.02 ,0.00 ,-0.07 ,0.05 ,-0.04 ,-0.07 ,-0.03 ,-0.49 ,-0.05 ,-0.16 ,-0.14 ,-0.18 ,-0.06 
2/4,-0.07 ,-0.10 ,-0.02 ,-0.10 ,0.00 ,-0.05 ,0.00 ,-0.05 ,-0.04 ,-0.05 ,-0.03 ,0.00 ,-0.05 ,-0.06 ,-0.08 ,0.02 ,-0.02 ,-0.01 ,-0.03 ,-0.07 ,-0.09 ,-0.08 ,-0.08 ,-0.09 ,-0.06 
2/11,-0.36 ,0.00 ,-0.01 ,-0.08 ,-0.03 ,0.00 ,-0.02 ,-0.13 ,-0.10 ,-0.03 ,-0.01 ,0.00 ,0.00 ,-0.02 ,-0.01 ,0.03 ,-0.06 ,-0.02 ,-0.03 ,0.00 ,0.00 ,-0.04 ,-0.03 ,-0.13 ,-0.02 
2/18,-0.04 ,-0.01 ,-0.03 ,-0.04 ,-0.01 ,-0.08 ,-0.09 ,-0.20 ,-0.05 ,-0.03 ,-0.05 ,-0.10 ,-0.12 ,0.00 ,-0.08 ,0.08 ,-0.14 ,-0.01 ,-0.03 ,-0.21 ,-0.12 ,-0.07 ,-0.15 ,-0.16 ,-0.03 
2/25,-0.05 ,0.00 ,-0.01 ,-0.25 ,-0.01 ,-0.03 ,-0.07 ,-0.14 ,-0.08 ,-0.25 ,-0.02 ,-0.05 ,0.00 ,0.00 ,0.07 ,0.10 ,-0.02 ,-0.02 ,-0.09 ,-0.14 ,-0.23 ,-0.03 ,-0.03 ,-0.07 ,-0.09 
3/4,0.00 ,0.00 ,-0.17 ,-0.23 ,0.00 ,-0.01 ,-0.09 ,-0.01 ,-0.19 ,-0.36 ,-0.03 ,-0.12 ,0.01 ,0.00 ,0.09 ,0.10 ,-0.13 ,-0.06 ,-0.24 ,0.00 ,-0.23 ,0.01 ,0.01 ,-0.10 ,-0.02 
3/11,-0.14 ,-0.01 ,-0.05 ,-0.11 ,-0.23 ,-0.03 ,-0.03 ,-0.27 ,-0.16 ,-0.18 ,-0.01 ,-0.20 ,-0.01 ,-0.04 ,0.04 ,0.03 ,-0.38 ,-0.02 ,-0.05 ,0.00 ,-0.30 ,0.00 ,0.16 ,-0.01 ,-0.12 
3/18,-0.12 ,-0.06 ,0.00 ,-0.05 ,-0.08 ,-0.02 ,0.00 ,-0.15 ,0.00 ,-0.11 ,-0.01 ,-0.02 ,0.00 ,0.00 ,0.01 ,0.02 ,-0.26 ,0.00 ,-0.02 ,-0.14 ,-0.09 ,0.00 ,0.06 ,-0.08 ,-0.15 
3/25,-0.07 ,0.00 ,0.00 ,-0.07 ,0.00 ,-0.14 ,0.00 ,-0.04 ,-0.01 ,-0.02 ,0.01 ,0.00 ,-0.05 ,0.00 ,0.00 ,0.01 ,-0.08 ,-0.09 ,0.00 ,-0.06 ,-0.02 ,-0.02 ,0.06 ,-0.02 ,-0.10 
4/1,-0.09 ,-0.05 ,-0.03 ,-0.13 ,-0.07 ,-0.01 ,0.00 ,-0.08 ,-0.12 ,-0.04 ,-0.01 ,0.00 ,0.00 ,-0.02 ,-0.03 ,0.06 ,0.00 ,-0.01 ,-0.04 ,0.00 ,-0.02 ,0.00 ,0.03 ,-0.13 ,-0.05 
4/8,-0.04 ,0.01 ,0.00 ,-0.12 ,-0.03 ,0.00 ,-0.01 ,-0.01 ,-0.08 ,-0.02 ,0.00 ,-0.09 ,-0.07 ,0.00 ,-0.03 ,0.05 ,-0.05 ,-0.04 ,-0.12 ,0.00 ,0.00 ,0.00 ,0.06 ,-0.01 ,-0.10 
4/15,0.00 ,0.00 ,0.01 ,-0.11 ,-0.02 ,-0.02 ,-0.06 ,0.01 ,-0.01 ,-0.05 ,-0.07 ,0.00 ,-0.01 ,0.00 ,-0.01 ,0.00 ,0.01 ,-0.02 ,-0.01 ,0.00 ,-0.01 ,0.01 ,0.05 ,0.00 ,0.00 
4/22,0.00 ,-0.07 ,-0.02 ,-0.02 ,0.00 ,-0.02 ,0.00 ,-0.10 ,-0.14 ,-0.03 ,-0.08 ,0.00 ,-0.03 ,0.00 ,0.14 ,0.01 ,-0.04 ,-0.04 ,0.00 ,0.00 ,-0.06 ,0.01 ,0.10 ,-0.08 ,0.01 
4/29,0.00 ,0.00 ,0.00 ,-0.02 ,0.00 ,-0.02 ,-0.03 ,-0.03 ,0.00 ,-0.28 ,-0.03 ,0.00 ,-0.19 ,-0.01 ,0.05 ,0.06 ,-0.02 ,0.00 ,-0.06 ,0.00 ,-0.05 ,0.02 ,0.02 ,-0.05 ,0.00 
5/6,0.00 ,-0.05 ,-0.01 ,0.00 ,-0.02 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.00 ,-0.14 ,-0.01 ,0.04 ,0.00 ,-0.09 ,0.00 ,-0.02 ,0.01 ,-0.02 ,0.00 ,0.03 ,0.00 ,0.01 
5/13,-0.02 ,-0.03 ,-0.17 ,0.00 ,-0.01 ,-0.01 ,0.00 ,-0.04 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.21 ,-0.03 ,-0.08 ,-0.01 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.06 ,-0.02 ,0.00 
5/20,-0.09 ,-0.03 ,-0.06 ,-0.03 ,-0.01 ,-0.15 ,-0.10 ,-0.01 ,-0.03 ,0.00 ,-0.11 ,0.00 ,0.00 ,-0.14 ,0.00 ,-0.16 ,-0.08 ,0.00 ,-0.13 ,-0.03 ,-0.01 ,0.00 ,0.01 ,-0.13 ,-0.03 
5/27,-0.03 ,-0.03 ,-0.06 ,-0.05 ,0.00 ,0.00 ,0.00 ,-0.28 ,-0.01 ,-0.10 ,0.00 ,-0.16 ,0.00 ,-0.06 ,0.00 ,-0.08 ,-0.08 ,0.01 ,-0.09 ,-0.09 ,-0.06 ,0.00 ,-0.02 ,0.00 ,-0.08 
6/3,-0.04 ,-0.11 ,-0.13 ,-0.02 ,-0.03 ,-0.03 ,0.00 ,-0.03 ,-0.11 ,-0.16 ,0.00 ,-0.05 ,0.00 ,-0.06 ,-0.09 ,-0.05 ,-0.02 ,0.00 ,-0.04 ,0.00 ,-0.01 ,-0.01 ,-0.03 ,-0.15 ,-0.05 
6/10,0.00 ,-0.01 ,-0.07 ,-0.03 ,0.00 ,-0.01 ,-0.02 ,-0.02 ,0.00 ,-0.01 ,-0.20 ,-0.01 ,0.00 ,-0.19 ,-0.20 ,-0.04 ,-0.02 ,-0.03 ,0.00 ,-0.60 ,-0.09 ,-0.02 ,0.00 ,0.00 ,0.00 
6/17,0.00 ,-0.08 ,-0.09 ,-0.01 ,-0.01 ,-0.03 ,-0.04 ,-0.04 ,-0.01 ,-0.08 ,-0.06 ,-0.02 ,-0.01 ,-0.15 ,-0.24 ,-0.03 ,-0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.02 ,-0.02 ,-0.01 
6/24,0.00 ,0.00 ,-0.01 ,-0.05 ,-0.04 ,-0.04 ,-0.01 ,-0.04 ,-0.01 ,-0.11 ,-0.06 ,0.00 ,0.00 ,0.00 ,-0.10 ,-0.11 ,-0.06 ,-0.07 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.06 ,0.00 ,-0.01 
7/1,0.00 ,-0.01 ,-0.02 ,-0.03 ,-0.10 ,-0.02 ,0.00 ,-0.03 ,-0.08 ,-0.02 ,-0.06 ,-0.07 ,0.00 ,0.00 ,-0.11 ,0.00 ,-0.04 ,-0.04 ,-0.02 ,0.00 ,-0.08 ,0.00 ,-0.06 ,0.00 ,0.00 
7/8,-0.01 ,-0.03 ,-0.10 ,-0.28 ,-0.40 ,-0.02 ,-0.02 ,-0.19 ,-0.15 ,0.00 ,-0.05 ,-0.04 ,0.00 ,-0.07 ,-0.13 ,-0.03 ,0.00 ,-0.03 ,-0.11 ,-0.05 ,-0.18 ,-0.01 ,-0.06 ,-0.07 ,-0.09 
7/15,-0.07 ,-0.03 ,-0.07 ,-0.09 ,-0.22 ,-0.06 ,-0.03 ,-0.17 ,-0.13 ,-0.22 ,-0.15 ,0.00 ,0.00 ,0.00 ,-0.12 ,-0.17 ,-0.05 ,-0.08 ,-0.33 ,-0.20 ,-0.15 ,-0.04 ,-0.19 ,-0.10 ,-0.01 
7/22,-0.03 ,-0.28 ,-0.31 ,-0.18 ,-0.15 ,-0.04 ,-0.10 ,-0.39 ,-0.25 ,-0.22 ,-0.19 ,-0.11 ,0.00 ,-0.27 ,-0.03 ,-0.07 ,-0.06 ,-0.03 ,-0.04 ,0.00 ,-0.03 ,-0.01 ,-0.05 ,-0.09 ,-0.14 
7/29,-0.07 ,-0.03 ,-0.26 ,-0.09 ,-0.10 ,-0.15 ,-0.05 ,-0.11 ,0.00 ,-0.07 ,-0.01 ,-0.07 ,-0.20 ,-0.06 ,-0.22 ,-0.01 ,-0.09 ,-0.08 ,-0.03 ,0.00 ,0.00 ,-0.01 ,-0.13 ,-0.20 ,-0.01 
8/5,-0.05 ,-0.01 ,-0.04 ,-0.09 ,-0.04 ,-0.08 ,-0.03 ,0.00 ,-0.04 ,-0.10 ,-0.08 ,0.00 ,-0.01 ,-0.06 ,-0.07 ,-0.03 ,-0.02 ,-0.06 ,-0.03 ,0.00 ,0.00 ,0.00 ,-0.02 ,-0.03 ,-0.03 
8/12,0.00 ,-0.04 ,-0.01 ,-0.02 ,0.00 ,0.00 ,-0.06 ,-0.01 ,-0.04 ,-0.09 ,-0.06 ,0.00 ,0.00 ,-0.03 ,-0.03 ,-0.04 ,-0.03 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.01 ,0.00 ,-0.01 ,0.00 
8/19,-0.04 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,-0.01 ,0.00 ,-0.02 ,-0.01 ,-0.12 ,0.00 ,0.00 ,-0.03 ,0.06 ,-0.01 ,-0.01 ,-0.02 ,0.00 ,0.00 ,-0.04 ,0.01 ,0.00 ,-0.02 ,-0.05 
8/26,-0.01 ,-0.09 ,0.00 ,0.00 ,-0.06 ,-0.01 ,-0.02 ,0.00 ,0.00 ,-0.17 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.03 ,-0.09 ,-0.02 ,-0.06 ,-0.04 ,0.00 ,-0.02 ,0.00 ,0.07 ,-0.12 ,-0.01 
9/2,0.03 ,-0.09 ,-0.02 ,-0.03 ,-0.10 ,-0.04 ,-0.02 ,-0.08 ,0.07 ,-0.20 ,-0.15 ,0.00 ,-0.02 ,-0.01 ,0.05 ,0.00 ,-0.14 ,0.01 ,0.00 ,-0.34 ,-0.02 ,-0.02 ,0.01 ,-0.01 ,-0.08 
9/9,0.07 ,-0.14 ,0.00 ,-0.02 ,-0.04 ,-0.05 ,-0.03 ,-0.02 ,0.10 ,-0.06 ,-0.04 ,0.00 ,0.04 ,-0.06 ,0.08 ,0.02 ,0.00 ,0.01 ,0.05 ,-0.02 ,-0.01 ,0.03 ,0.04 ,0.02 ,-0.08 
9/23,0.06 ,-0.05 ,0.07 ,0.05 ,-0.05 ,-0.02 ,-0.02 ,0.00 ,0.07 ,-0.08 ,0.02 ,0.00 ,0.03 ,-0.06 ,0.03 ,0.00 ,0.02 ,0.04 ,0.00 ,0.00 ,0.04 ,0.01 ,0.01 ,0.03 ,0.00 
