Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
11/1/3,0.00 ,0.14 ,0.00 ,0.02 ,0.00 ,0.02 ,0.08 ,0.12 ,0.05 ,0.07 ,0.00 ,0.00 ,-0.09 ,0.04 ,0.08 ,0.03 ,0.00 ,-0.03 ,0.01 ,0.00 ,0.03 ,0.15 ,0.15 ,0.11 ,0.02 
1/10,0.00 ,0.08 ,0.02 ,0.00 ,0.00 ,0.03 ,0.01 ,0.01 ,0.01 ,0.01 ,0.00 ,0.00 ,0.05 ,-0.02 ,0.06 ,0.01 ,0.01 ,0.00 ,0.03 ,0.17 ,0.16 ,0.09 ,0.08 ,0.11 ,0.01 
1/17,0.00 ,0.26 ,0.00 ,0.02 ,-0.03 ,0.17 ,0.03 ,0.00 ,0.04 ,0.02 ,0.00 ,0.00 ,0.00 ,0.15 ,0.16 ,0.07 ,0.01 ,0.17 ,0.08 ,0.00 ,0.04 ,0.17 ,0.14 ,0.08 ,0.02 
1/24,0.04 ,0.05 ,0.00 ,0.07 ,0.00 ,0.08 ,0.02 ,0.00 ,0.03 ,0.05 ,0.00 ,0.00 ,0.18 ,0.00 ,0.07 ,0.21 ,0.00 ,0.05 ,0.05 ,0.03 ,0.02 ,0.33 ,0.14 ,0.13 ,0.01 
2/7,0.00 ,0.08 ,0.08 ,0.00 ,0.11 ,0.14 ,0.06 ,0.10 ,0.16 ,0.04 ,0.00 ,0.00 ,0.01 ,0.05 ,0.12 ,0.12 ,-0.04 ,0.00 ,0.05 ,0.00 ,0.14 ,0.23 ,0.03 ,0.05 ,0.08 
2/14,0.00 ,0.04 ,0.07 ,0.13 ,0.00 ,0.16 ,-0.04 ,0.02 ,0.08 ,0.04 ,0.11 ,0.09 ,0.05 ,0.01 ,0.23 ,0.06 ,-0.02 ,0.07 ,0.05 ,0.00 ,0.08 ,0.20 ,0.10 ,0.09 ,0.19 
2/21,-0.04 ,0.00 ,0.01 ,0.02 ,0.16 ,0.05 ,0.08 ,0.06 ,0.16 ,0.03 ,0.00 ,0.01 ,0.12 ,0.00 ,0.10 ,0.02 ,0.00 ,0.06 ,0.03 ,0.02 ,0.06 ,0.10 ,0.05 ,0.09 ,0.07 
2/28,0.05 ,0.03 ,0.06 ,0.02 ,0.06 ,0.02 ,0.13 ,0.03 ,0.00 ,0.06 ,0.00 ,0.05 ,0.06 ,0.14 ,0.03 ,0.07 ,0.00 ,0.02 ,0.10 ,0.00 ,0.00 ,0.02 ,0.07 ,0.01 ,0.06 
3/7,-0.03 ,0.03 ,0.01 ,0.00 ,0.01 ,0.02 ,0.05 ,0.00 ,0.04 ,0.11 ,0.00 ,0.17 ,0.03 ,0.01 ,0.02 ,0.18 ,0.00 ,0.04 ,0.07 ,-0.01 ,0.00 ,0.03 ,0.03 ,0.02 ,0.07 
3/14,-0.04 ,0.00 ,0.01 ,0.02 ,0.06 ,0.01 ,0.00 ,0.00 ,-0.01 ,0.06 ,0.07 ,0.32 ,0.00 ,0.00 ,-0.02 ,0.12 ,0.00 ,0.02 ,0.09 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,0.00 
3/21,0.00 ,0.00 ,0.01 ,0.04 ,-0.06 ,-0.06 ,0.04 ,0.02 ,0.00 ,0.01 ,-0.01 ,0.02 ,0.00 ,0.23 ,-0.04 ,-0.02 ,0.00 ,0.12 ,-0.02 ,0.00 ,0.01 ,0.00 ,-0.03 ,0.00 ,0.01 
3/28,0.00 ,0.00 ,-0.02 ,0.01 ,0.00 ,-0.02 ,0.00 ,0.01 ,0.00 ,0.00 ,-0.01 ,-0.04 ,-0.02 ,0.15 ,0.05 ,-0.01 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,-0.05 
4/4,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.01 ,-0.06 ,0.00 ,0.05 ,-0.04 ,-0.07 ,-0.04 ,0.07 ,-0.03 ,0.02 ,-0.05 
4/11,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,0.02 ,0.07 ,-0.04 ,0.00 ,0.02 ,0.00 ,0.19 ,-0.02 ,0.03 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.01 ,0.01 
4/18,0.00 ,0.00 ,-0.01 ,0.01 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,-0.02 ,0.00 ,-0.04 ,0.00 ,-0.04 ,0.00 ,-0.03 ,-0.02 ,-0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.03 ,-0.01 ,0.01 
